"nombre","categoria","descripcion","condiciones_especiales","contacto_nombre","contacto_telefono","contacto_email","es_estrategico","nota_logo"
"HENRY SCHEIN SCHMIDT","Depósitos","Henry Schein, Inc. (Nasdaq: HSIC) es una empresa de soluciones para profesionales de la salud impulsada por una red de personas y tecnología. Con cerca de 22.000 miembros en el equipo de Schein en todo el mundo, la red de asesores de confianza de la compañía ofrece más de 300 soluciones a más de 1 millón de clientes de todo el mundo para mejorar el éxito operativo y los resultados clínicos.","Condiciones Especiales:\nMarca HenrySchein: 47% Dto.\nMarcas Corporativas: 47% Dto.\nNormon: 40% Dto.\nProductos de Catálogo: 35% Dto. como mínimo\nIvoclar-Vivadent, 3M, VOCO, Komet (sin bloques): 32% Dto.\nEquipamiento y alta tecnología: Descuento máximo según fabricante + Campañas exclusivas con descuentos superiores a los aquí descritos.","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"PROCLINIC","Depósitos","En Proclinic Group somos líderes del sector dental porque nos une una misma ilusión: entregar siempre las mejores soluciones a los profesionales. A todos ellos, les ofrecemos el equipamiento más innovador, programas especializados de formación continuada, un acompañamiento técnico de referencia, el mayor portfolio de productos y los precios más competitivos del mercado","Condiciones Especiales:\n(No incluye Fadente)\nMarca Proclinic: 40% Dto.\nTarifa general: 30% Dto.\nPequeña aparatología: 25% Dto.\nLaboratorio y CAD-CAM laboratorio: 25% Dto.\nSobre Ofertas de laboratorio: 15% Dto.\nSobre Ofertas de consumo (no aparatología): 15% Dto.\nPortes gratuitos en todos los pedidos","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"BROKER","Depósitos","En Broker Dental ofrecemos siempre una opción de compra inteligente para que la salud bucodental sea accesible a todos.","Condiciones Especiales:\nTarifa general: 25% Dto.\nPequeña aparatología: 10% Dto.\nOfertas de consumo (no aparatología): 10% Dto.","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"DVD","Depósitos","DVD Dental es líder y referente del sector de la odontología. Fundada en 1988 como parte del grupo europeo GACD, DVD son soluciones para el profesional de la odontología, una marca que reúne propuestas de valor, tanto en los productos y servicios que ofrece, como en innovación, promoción y fomento del talento odontológico.","Condiciones Especiales:\nCatálogo General:\nMarca Nacional: 30% Dto. (3M, Ivoclar, Dentsply, Voco, Kulzer, ...)\nMarcas Exclusivas: 50% Dto. (R&S, Medibaser, DentoViractis, Clínix,...)\nAparatología:\nDescuentos variables según campañas de fabricantes\n+ Ofertas Exclusivas DentalQuality","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"AXIS DENTAL","Depósitos","Desde su nacimiento en Suiza en 1995, Axis defiende que la calidad del material utilizado en odontología en pro de la salud es determinante para poder responder de la manera más profesional a las expectativas de los pacientes, además de ser un elemento crucial para que los tratamientos sean más eficientes y económicos sencillamente por el ahorro del tiempo que genera a los profesionales.","Condiciones Especiales\n10% de Descuento sobre tarifa","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"AKURA","Depósitos","Somos un equipo de profesionales expertos en ergonomía postural, visión, precisión y magnificación. Nuestro objetivo es mejorar tu salud laboral e incrementar la calidad de tu trabajo diario.","Condiciones Especiales:\nCatálogo de ofertas especiales DentalQuality\nCompras agrupadas","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"ADIEMED","Depósitos","Adiemed es una empresa dedicada a la importación de equipamiento para el diagnóstico médico. Comercializamos en exclusiva los desfibriladores Samaritan PAD, uno de los más vendidos en España y en el mundo.","Sistema completo Samaritan® PAD 350P SemiAutomático con 8 años de garantía:\nDesfibrilador de última generación con bolsa de transporte y protección, baterías, electrodos, Kit de RCP. Vitrina de pared AIVIA IN. Señalética legal y Cartelería. Registro del DEA. Seguro de responsabilidad civil. Asistente profundidad RCP BEATY con indicaciones audibles.\nPrecio especial: 945€+IVA\nCoste de mantenimiento: 99€+IVA cada 4 años (es el valor en propiedad más bajo del mercado ya que este equipo se auto-revisa y dispone del Pad-PakTM de electrodos y baterías con 4 años de duración.","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"ENDOVATIONS","Depósitos","En Endovations sentimos auténtica pasión por la endodoncia y, por eso, somos la única empresa en España especializada en la venta de aparatología e instrumentación de la mano de las mejores marcas para este campo: B&L, FKG, Dentsply-Maillefer, CJ-Optik o PDSA, entre otras.","Condiciones Especiales:\nTarifa Especial VIP\nPortes gratuitos\nFactura única mensual\nFormación y asesoramiento","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"KATIA DENTAL","Depósitos","Katia Productos Dentales proporciona a sus clientes soluciones idóneas para sus necesidades profesionales mediante un asesoramiento personalizado y un eficiente suministro, alcanzando sus expectativas dando respuestas innovadoras, rápidas y honestas con el propósito de construir relaciones de larga duración.","Condiciones Especiales:\n25% de Descuento sobre tarifa","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"EMS","Depósitos","AIRFLOW® Prophylaxis Master es una solución única para la prevención de caries y enfermedades periodontales y su mantenimiento.","Condiciones Especiales 2024:\nAirFlow Prophylaxis Master + AirFlow Station Plus (FT-229-1B + DW-048ª)\nPrecio DentalQuality: 8.963,25€\nResto de productos: 15% de Descuento sobre tarifa","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"QUICKSLEEPER, Anestesia Intraósea","Depósitos","Medicalfit, a través de su servicio de consultoría, ofrece una manera fácil de conseguir una clínica totalmente digitalizada.","Condiciones Especiales:\n8% Descuento en QuickSleeper\nDescuentos variables en el resto de los productos","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"CHEROKEE","Depósitos","Cherokee es la marca Nº 1 en ventas de uniformes médicos en EE.UU. , y la 3ª más grande en “Licensed Apparel Brands” a nivel mundial, por detrás de Ralph Lauren.","Condiciones Especiales:\n10% de Descuento sobre tarifa","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"MALETÍN DE REANIMACIÓN","Depósitos","R de Benitez, una compañía para facilitar tanto la compra como el mantenimiento de los maletines de reanimación y el relleno de las botellas de oxígeno medicinal, tratado correctamente como medicamento.","Condiciones Especiales:\n3% de Descuento sobre tarifa","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"CERANIUM","Laboratorio","Ceranium es un Laboratorio de Prótesis Dental ubicado en Madrid.","Condiciones Especiales: Acceso directo a su tarifa más reducida\n10% Dto. extra durante los 3 primeros meses","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"Mondental","Laboratorio","Prótesis y Ortodoncia, un Mundo a tu servicio con las condiciones DentalQuality","Condiciones Especiales:\nTarifa especial 5% Dto. medio (excepto marcas)","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
"ConVaden","Laboratorio","Asumen todos los gastos de transporte  (ida y vuelta de los trabajos)","Condiciones Especiales:\nDescuento medio para el grupo: 12,5%","No especificado","No especificado","No especificado","TRUE","Pendiente subir"
